Date & Time,Carbon Dioxide (PPM),Carbon Monoxide (PPM),Nitrogen Dioxide (PPM),Temperature (Deg C),Humidity (%RH),Barometric Pressure (mb),Relative Pressure (mb)
22/06/2018 - 18:32,360,0.560,35.180,33.500,45.850,904.260,1104.410
22/06/2018 - 18:32,370,0.570,41.010,33.540,45.840,904.230,1104.370
22/06/2018 - 18:33,372,0.570,38.740,33.560,45.800,904.270,1104.420
22/06/2018 - 18:33,369,0.150,38.910,33.590,45.730,904.190,1104.310
22/06/2018 - 18:34,367,0.560,36.840,33.600,45.700,904.250,1104.400
22/06/2018 - 18:34,298,0.540,38.690,33.610,45.730,904.230,1104.370
22/06/2018 - 18:35,322,0.510,39.160,33.620,45.940,904.220,1104.360
22/06/2018 - 18:35,498,0.140,39.130,33.540,46.280,904.200,1104.330
22/06/2018 - 18:36,401,0.520,37.720,33.510,46.350,904.130,1104.240
22/06/2018 - 18:36,387,0.520,43.260,33.520,46.390,904.190,1104.320
22/06/2018 - 18:37,365,0.510,39.130,33.500,46.600,904.160,1104.290
22/06/2018 - 18:37,318,0.160,38.490,33.450,46.760,904.160,1104.290
22/06/2018 - 18:38,330,0.650,38.890,33.440,47.080,904.140,1104.250
22/06/2018 - 18:38,340,0.630,40.720,33.450,47.280,904.170,1104.300
22/06/2018 - 18:39,351,0.590,38.330,33.440,47.340,904.130,1104.250
22/06/2018 - 18:39,357,0.550,39.100,33.440,47.380,904.180,1104.300
22/06/2018 - 18:40,359,0.670,40.540,33.430,47.410,904.150,1104.270
22/06/2018 - 18:40,351,0.580,39.340,33.410,47.550,904.180,1104.310
22/06/2018 - 18:41,355,0.560,39.420,33.370,47.690,904.140,1104.260
22/06/2018 - 18:41,367,0.590,38.060,33.360,47.760,904.230,1104.370
22/06/2018 - 18:42,371,0.620,40.670,33.370,47.760,904.210,1104.350
22/06/2018 - 18:42,378,0.650,40.110,33.330,47.790,904.180,1104.310
22/06/2018 - 18:43,373,0.600,40.010,33.360,47.690,904.210,1104.340
22/06/2018 - 18:43,318,0.670,37.880,33.360,47.620,904.250,1104.390
22/06/2018 - 18:44,333,0.190,39.240,33.350,47.620,904.240,1104.380
22/06/2018 - 18:44,349,0.650,40.360,33.370,47.590,904.240,1104.380
22/06/2018 - 18:45,356,0.650,42.290,33.370,47.550,904.270,1104.420
22/06/2018 - 18:45,367,0.620,41.430,33.390,47.590,904.250,1104.390
22/06/2018 - 18:46,321,0.200,42.050,33.250,47.560,904.290,1104.440
22/06/2018 - 18:46,341,0.660,42.270,33.280,47.430,904.270,1104.410
22/06/2018 - 18:47,334,0.640,43.290,33.280,47.500,904.330,1104.480
22/06/2018 - 18:47,348,0.610,42.350,33.310,47.700,904.400,1104.580
22/06/2018 - 18:48,351,0.690,43.300,33.290,47.900,904.370,1104.540
22/06/2018 - 18:48,363,0.620,43.070,33.350,47.970,904.440,1104.620
22/06/2018 - 18:49,352,0.610,42.430,33.330,48.000,904.480,1104.670
22/06/2018 - 18:49,361,0.620,45.570,33.250,48.000,904.520,1104.720
22/06/2018 - 18:50,375,0.670,44.220,33.280,48.070,904.570,1104.780
22/06/2018 - 18:50,375,0.690,42.790,33.320,48.070,904.520,1104.730
22/06/2018 - 18:51,382,0.600,42.000,33.320,48.070,904.520,1104.730
22/06/2018 - 18:51,380,0.570,44.210,32.840,48.120,904.540,1104.750
22/06/2018 - 18:52,365,0.580,42.230,33.000,48.120,904.610,1104.830
22/06/2018 - 18:52,364,0.570,44.120,33.000,48.190,904.590,1104.810
22/06/2018 - 18:53,355,0.620,43.800,33.000,48.300,904.630,1104.860
22/06/2018 - 18:53,353,0.600,44.810,33.050,48.250,904.550,1104.760
22/06/2018 - 18:54,353,0.570,41.960,32.830,48.470,904.610,1104.830
22/06/2018 - 18:54,355,0.590,41.920,32.910,48.530,904.540,1104.750
22/06/2018 - 18:55,346,0.570,42.580,32.930,48.600,904.600,1104.820
22/06/2018 - 18:55,359,0.570,43.090,32.970,48.570,904.600,1104.820
22/06/2018 - 18:56,358,0.520,42.660,32.810,48.780,904.670,1104.900
22/06/2018 - 18:57,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 18:57,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 18:58,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 18:58,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 18:59,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 18:59,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 19:00,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 19:00,0,0.000,0.000,0.000,0.000,0.000,0.000
22/06/2018 - 19:01,0,0.000,0.000,0.000,0.000,0.000,0.000
25/06/2018 - 11:02,349,1.110,62.340,34.530,43.440,907.000,1107.750
25/06/2018 - 11:02,169,1.120,62.270,34.870,43.110,906.830,1107.550
25/06/2018 - 11:03,285,1.080,62.230,34.680,43.190,906.910,1107.640
25/06/2018 - 11:03,281,1.060,62.230,34.960,42.810,906.930,1107.670
25/06/2018 - 11:04,270,1.080,62.200,35.120,42.410,906.910,1107.630
25/06/2018 - 11:04,236,1.060,62.200,34.870,42.360,906.840,1107.560
25/06/2018 - 11:05,273,1.090,62.210,35.120,42.220,906.860,1107.580
25/06/2018 - 11:05,240,1.110,62.300,34.460,42.690,906.860,1107.580
25/06/2018 - 11:06,293,1.090,62.340,34.760,42.710,906.800,1107.510
25/06/2018 - 11:06,196,1.090,62.370,34.240,42.990,906.910,1107.650
